locus	type	lnL ratio	P-value
dDocent_Contig_199957:42	dDocent_Contig_199957:42	C	9.74604176122749	0
dDocent_Contig_242798:33	dDocent_Contig_242798:33	C	14.9342244291501	0
dDocent_Contig_97750:12	dDocent_Contig_97750:12	C	5.61421146167261	0.015
dDocent_Contig_203785:71	dDocent_Contig_203785:71	C	8.85085081238434	0
dDocent_Contig_87185:19	dDocent_Contig_87185:19	C	10.5195621006722	0
dDocent_Contig_86977:34	dDocent_Contig_86977:34	C	9.01363418469803	0
dDocent_Contig_93383:55	dDocent_Contig_93383:55	C	7.2195776621862	0.006
dDocent_Contig_17618:9	dDocent_Contig_17618:9	C	5.71679303893456	0.005
dDocent_Contig_24558:23	dDocent_Contig_24558:23	C	4.09511508153557	0.036
dDocent_Contig_225310:23	dDocent_Contig_225310:23	C	2.63328106775887	0.072
dDocent_Contig_114388:33	dDocent_Contig_114388:33	C	4.85417297930732	0.03
dDocent_Contig_139795:39	dDocent_Contig_139795:39	C	12.5554879776282	0
dDocent_Contig_51803:45	dDocent_Contig_51803:45	C	4.12774639561454	0.035
dDocent_Contig_114046:63	dDocent_Contig_114046:63	C	1.07154055108414	0.464
dDocent_Contig_16392:43	dDocent_Contig_16392:43	C	4.98050358058897	0.017
dDocent_Contig_152930:61	dDocent_Contig_152930:61	C	9.51630098436668	0.001
dDocent_Contig_95417:40	dDocent_Contig_95417:40	C	1.13617521334395	0.383
dDocent_Contig_26495:53	dDocent_Contig_26495:53	C	15.5220938067578	0
dDocent_Contig_96176:21	dDocent_Contig_96176:21	C	1.630736829913	0.308
dDocent_Contig_57393:71	dDocent_Contig_57393:71	C	8.51140897344619	0
dDocent_Contig_68887:24	dDocent_Contig_68887:24	C	4.45339440234028	0.033
dDocent_Contig_199125:55	dDocent_Contig_199125:55	C	50.5828522939993	0
dDocent_Contig_199908:19	dDocent_Contig_199908:19	C	5.77753699389189	0.013
dDocent_Contig_157109:73	dDocent_Contig_157109:73	C	7.16873896533785	0
dDocent_Contig_19175:36	dDocent_Contig_19175:36	C	10.6964895378643	0
dDocent_Contig_166859:30	dDocent_Contig_166859:30	C	1.01624846286933	0.429
dDocent_Contig_5462:15	dDocent_Contig_5462:15	C	3.70422326362973	0.035
dDocent_Contig_85076:46	dDocent_Contig_85076:46	C	18.6800445213568	0
dDocent_Contig_21144:74	dDocent_Contig_21144:74	C	4.78119891649989	0.028
dDocent_Contig_191053:66	dDocent_Contig_191053:66	C	8.12573583321772	0.001
dDocent_Contig_77087:70	dDocent_Contig_77087:70	C	1.50988067847096	0.336
dDocent_Contig_100270:69	dDocent_Contig_100270:69	C	5.32726619222139	0.02
dDocent_Contig_186321:22	dDocent_Contig_186321:22	C	5.84050722307592	0.017
dDocent_Contig_3651:46	dDocent_Contig_3651:46	C	8.16497638360575	0.002
dDocent_Contig_2393:7	dDocent_Contig_2393:7	C	0.795999757569774	0.514
dDocent_Contig_182225:19	dDocent_Contig_182225:19	C	7.0507733765027	0.005
dDocent_Contig_93638:5	dDocent_Contig_93638:5	C	0.628044917052172	0.579
dDocent_Contig_52725:38	dDocent_Contig_52725:38	C	4.43789527203077	0.038
dDocent_Contig_125103:16	dDocent_Contig_125103:16	C	6.77053646574319	0.005
dDocent_Contig_239402:18	dDocent_Contig_239402:18	C	4.54229792524806	0.035
dDocent_Contig_130946:45	dDocent_Contig_130946:45	C	1.79367749061909	0.267
dDocent_Contig_9862:60	dDocent_Contig_9862:60	C	9.3140605744733	0
dDocent_Contig_307:27	dDocent_Contig_307:27	C	4.08038171216685	0.05
dDocent_Contig_61980:20	dDocent_Contig_61980:20	C	5.30539010323541	0.016
dDocent_Contig_86209:42	dDocent_Contig_86209:42	C	1.36108865706962	0.358
dDocent_Contig_242271:56	dDocent_Contig_242271:56	C	18.145149857864	0
dDocent_Contig_108218:22	dDocent_Contig_108218:22	C	6.54443700781468	0.005
dDocent_Contig_136146:77	dDocent_Contig_136146:77	C	0.628966867231583	0.606
dDocent_Contig_63784:11	dDocent_Contig_63784:11	C	3.91159980772342	0.048
dDocent_Contig_145658:10	dDocent_Contig_145658:10	C	2.05850098982755	0.215
dDocent_Contig_256159:19	dDocent_Contig_256159:19	C	1.77024161272423	0.254
dDocent_Contig_90481:36	dDocent_Contig_90481:36	C	1.4716412454275	0.318
dDocent_Contig_140689:8	dDocent_Contig_140689:8	C	2.92172263820792	0.103
dDocent_Contig_140689:44	dDocent_Contig_140689:44	C	17.9364812397006	0
dDocent_Contig_127298:27	dDocent_Contig_127298:27	C	9.65651520554849	0
dDocent_Contig_227513:8	dDocent_Contig_227513:8	C	1.86848390149737	0.245
dDocent_Contig_99064:45	dDocent_Contig_99064:45	C	3.01096782750901	0.108
dDocent_Contig_111528:11	dDocent_Contig_111528:11	C	19.7487183472804	0
dDocent_Contig_109290:54	dDocent_Contig_109290:54	C	11.3852441854609	0
dDocent_Contig_233223:25	dDocent_Contig_233223:25	C	4.279423881905	0.038
dDocent_Contig_83142:42	dDocent_Contig_83142:42	C	2.61599863327589	0.111
dDocent_Contig_152570:34	dDocent_Contig_152570:34	C	6.75814475334232	0.011
dDocent_Contig_76814:13	dDocent_Contig_76814:13	C	16.363459031791	0
dDocent_Contig_48300:37	dDocent_Contig_48300:37	C	4.9350952433236	0.019
dDocent_Contig_167784:11	dDocent_Contig_167784:11	C	0.977609631738453	0.499
dDocent_Contig_76897:15	dDocent_Contig_76897:15	C	3.42722251126104	0.095
dDocent_Contig_112498:49	dDocent_Contig_112498:49	C	1.60101502686131	0.278
dDocent_Contig_112498:25	dDocent_Contig_112498:25	C	3.78512746024577	0.035
dDocent_Contig_97261:40	dDocent_Contig_97261:40	C	6.08611784317736	0.006
dDocent_Contig_109559:24	dDocent_Contig_109559:24	C	10.9457923987726	0
dDocent_Contig_197969:65	dDocent_Contig_197969:65	C	3.75143702555843	0.044
dDocent_Contig_2563:44	dDocent_Contig_2563:44	C	4.26774678147424	0.029
dDocent_Contig_226149:13	dDocent_Contig_226149:13	C	1.38994192133278	0.366
dDocent_Contig_107202:81	dDocent_Contig_107202:81	C	9.55834574427431	0
dDocent_Contig_1355:36	dDocent_Contig_1355:36	C	1.41264361172774	0.324
dDocent_Contig_154454:22	dDocent_Contig_154454:22	C	2.78429743169653	0.119
dDocent_Contig_229310:37	dDocent_Contig_229310:37	C	6.01175828237761	0.012
dDocent_Contig_104318:81	dDocent_Contig_104318:81	C	13.8754031753992	0
dDocent_Contig_133716:69	dDocent_Contig_133716:69	C	6.54636612800047	0.003
dDocent_Contig_31235:26	dDocent_Contig_31235:26	C	20.4438166806892	0
dDocent_Contig_86590:44	dDocent_Contig_86590:44	C	2.81929260876508	0.103
dDocent_Contig_4932:46	dDocent_Contig_4932:46	C	6.35745356595477	0.007
dDocent_Contig_73760:50	dDocent_Contig_73760:50	C	7.21772069676143	0.002
dDocent_Contig_60992:43	dDocent_Contig_60992:43	C	6.2684630207391	0.007
dDocent_Contig_313:20	dDocent_Contig_313:20	C	4.25255439205608	0.034
dDocent_Contig_93956:8	dDocent_Contig_93956:8	C	0.528726513334227	0.561
dDocent_Contig_9930:60	dDocent_Contig_9930:60	C	11.8181635346865	0
dDocent_Contig_226996:35	dDocent_Contig_226996:35	C	4.8496753870846	0.028
dDocent_Contig_245662:34	dDocent_Contig_245662:34	C	5.98032148079606	0.008
dDocent_Contig_59015:7	dDocent_Contig_59015:7	C	0.274439232780132	0.732
dDocent_Contig_26061:13	dDocent_Contig_26061:13	C	9.57835874836529	0.001
dDocent_Contig_98005:38	dDocent_Contig_98005:38	C	2.82423054506475	0.074
dDocent_Contig_186321:13	dDocent_Contig_186321:13	C	0.974006950351082	0.571
dDocent_Contig_242025:32	dDocent_Contig_242025:32	C	5.32844592555845	0.02
dDocent_Contig_21525:38	dDocent_Contig_21525:38	C	3.19386150584208	0.109
dDocent_Contig_40980:8	dDocent_Contig_40980:8	C	1.33786484727428	0.263
dDocent_Contig_72319:28	dDocent_Contig_72319:28	C	30.4043131955815	0
dDocent_Contig_245933:29	dDocent_Contig_245933:29	C	8.80758138319402	0
dDocent_Contig_93728:32	dDocent_Contig_93728:32	C	8.59200662809506	0
dDocent_Contig_71116:36	dDocent_Contig_71116:36	C	12.1972309237967	0
dDocent_Contig_77511:55	dDocent_Contig_77511:55	C	7.02918639729955	0.003
dDocent_Contig_64447:39	dDocent_Contig_64447:39	C	7.61915282986199	0.001
dDocent_Contig_197240:12	dDocent_Contig_197240:12	C	7.53090463478225	0
dDocent_Contig_197240:34	dDocent_Contig_197240:34	C	4.98801730676338	0.026
dDocent_Contig_85061:21	dDocent_Contig_85061:21	C	13.2844168852714	0
dDocent_Contig_73497:28	dDocent_Contig_73497:28	C	14.8816627018246	0
dDocent_Contig_138286:32	dDocent_Contig_138286:32	C	5.03157979323537	0.023
dDocent_Contig_93486:71	dDocent_Contig_93486:71	C	26.6678748718931	0
dDocent_Contig_13506:30	dDocent_Contig_13506:30	C	3.35756341188175	0.071
dDocent_Contig_125423:69	dDocent_Contig_125423:69	C	9.46911254985398	0
dDocent_Contig_18200:9	dDocent_Contig_18200:9	C	1.73169462103913	0.294
dDocent_Contig_58308:39	dDocent_Contig_58308:39	C	10.499660610819	0
dDocent_Contig_48514:14	dDocent_Contig_48514:14	C	4.14366075538616	0.046
dDocent_Contig_125423:35	dDocent_Contig_125423:35	C	3.41845634810014	0.064
dDocent_Contig_232205:59	dDocent_Contig_232205:59	C	2.11943871009151	0.232
dDocent_Contig_58970:58	dDocent_Contig_58970:58	C	2.03794788461772	0.231
dDocent_Contig_78043:24	dDocent_Contig_78043:24	C	9.48234335578555	0
dDocent_Contig_79913:18	dDocent_Contig_79913:18	C	2.25828323427018	0.188
dDocent_Contig_79913:25	dDocent_Contig_79913:25	C	3.82555667941593	0.062
dDocent_Contig_40571:37	dDocent_Contig_40571:37	C	2.97751598101321	0.108
dDocent_Contig_241482:7	dDocent_Contig_241482:7	C	18.871955655932	0
dDocent_Contig_124297:50	dDocent_Contig_124297:50	C	5.93381608670244	0.009
dDocent_Contig_35709:59	dDocent_Contig_35709:59	C	2.47869230271569	0.142
dDocent_Contig_84164:21	dDocent_Contig_84164:21	C	1.01233325189701	0.453
dDocent_Contig_101211:58	dDocent_Contig_101211:58	C	3.83250412864459	0.062
dDocent_Contig_155149:12	dDocent_Contig_155149:12	C	4.19149687957514	0.04
dDocent_Contig_147333:17	dDocent_Contig_147333:17	C	8.92964132310163	0.001
dDocent_Contig_190974:10	dDocent_Contig_190974:10	C	3.24721231295887	0.041
dDocent_Contig_91819:12	dDocent_Contig_91819:12	C	9.61689313421722	0.001
dDocent_Contig_52416:58	dDocent_Contig_52416:58	C	2.53034987108394	0.168
dDocent_Contig_25453:79	dDocent_Contig_25453:79	C	8.16633885818707	0.002
dDocent_Contig_126554:23	dDocent_Contig_126554:23	C	0.71521700310916	0.548
dDocent_Contig_140689:47	dDocent_Contig_140689:47	C	8.28115556278976	0.002
dDocent_Contig_235952:81	dDocent_Contig_235952:81	C	18.9242434694081	0
dDocent_Contig_99652:15	dDocent_Contig_99652:15	C	0.666660825711872	0.517
dDocent_Contig_130647:34	dDocent_Contig_130647:34	C	3.04859560727428	0.123
dDocent_Contig_21166:38	dDocent_Contig_21166:38	C	4.1436932728474	0.05
dDocent_Contig_40860:8	dDocent_Contig_40860:8	C	14.7440854529463	0
dDocent_Contig_243860:45	dDocent_Contig_243860:45	C	4.53411228541643	0.022
dDocent_Contig_157612:48	dDocent_Contig_157612:48	C	9.85403403361715	0
dDocent_Contig_58030:73	dDocent_Contig_58030:73	C	12.0760807502792	0
dDocent_Contig_228490:9	dDocent_Contig_228490:9	C	3.09188402721031	0.13
dDocent_Contig_32696:49	dDocent_Contig_32696:49	C	18.6560278881208	0
dDocent_Contig_21002:46	dDocent_Contig_21002:46	C	7.90822080503057	0
dDocent_Contig_246961:8	dDocent_Contig_246961:8	C	6.33628120047353	0.008
dDocent_Contig_196651:12	dDocent_Contig_196651:12	C	2.783946107928	0.119
dDocent_Contig_245910:15	dDocent_Contig_245910:15	C	95.9283124776578	0
dDocent_Contig_61183:30	dDocent_Contig_61183:30	C	4.23041871364792	0.055
dDocent_Contig_45892:25	dDocent_Contig_45892:25	C	5.04074551292599	0.004
dDocent_Contig_7963:60	dDocent_Contig_7963:60	C	20.985816286307	0
dDocent_Contig_258654:21	dDocent_Contig_258654:21	C	15.0097582266924	0
dDocent_Contig_94327:7	dDocent_Contig_94327:7	C	0.813389249378844	0.436
dDocent_Contig_223793:26	dDocent_Contig_223793:26	C	7.05904529750532	0.001
dDocent_Contig_105078:16	dDocent_Contig_105078:16	C	6.30709050881184	0.008
dDocent_Contig_19584:19	dDocent_Contig_19584:19	C	4.50729636476377	0.021
dDocent_Contig_3567:25	dDocent_Contig_3567:25	C	3.29106147341668	0.06
dDocent_Contig_3567:30	dDocent_Contig_3567:30	C	8.37218049028378	0
dDocent_Contig_155619:37	dDocent_Contig_155619:37	C	3.02201698537191	0.089
dDocent_Contig_251748:9	dDocent_Contig_251748:9	C	6.92907160097621	0.002
dDocent_Contig_235788:48	dDocent_Contig_235788:48	C	17.9490925597679	0
dDocent_Contig_198758:62	dDocent_Contig_198758:62	C	3.40751183810908	0.064
dDocent_Contig_25442:62	dDocent_Contig_25442:62	C	7.18104554312188	0.003
dDocent_Contig_45855:74	dDocent_Contig_45855:74	C	6.09800532694841	0.008
dDocent_Contig_168544:25	dDocent_Contig_168544:25	C	1.98808502284054	0.251
dDocent_Contig_68938:12	dDocent_Contig_68938:12	C	4.09445423976838	0.053
dDocent_Contig_147026:34	dDocent_Contig_147026:34	C	8.90496272633344	0
dDocent_Contig_90871:20	dDocent_Contig_90871:20	C	2.91643578486142	0.098
dDocent_Contig_63910:52	dDocent_Contig_63910:52	C	1.21399060116217	0.414
dDocent_Contig_259666:14	dDocent_Contig_259666:14	C	0.428028771205199	0.656
dDocent_Contig_32024:36	dDocent_Contig_32024:36	C	5.51084601051355	0.011
dDocent_Contig_196453:13	dDocent_Contig_196453:13	C	5.77818208364299	0.012
dDocent_Contig_70923:16	dDocent_Contig_70923:16	C	4.62742839001464	0.03
dDocent_Contig_88591:23	dDocent_Contig_88591:23	C	1.452099414427	0.27
dDocent_Contig_96873:10	dDocent_Contig_96873:10	C	5.36538861548679	0.025
dDocent_Contig_188567:13	dDocent_Contig_188567:13	C	12.3054441073102	0
dDocent_Contig_7963:61	dDocent_Contig_7963:61	C	5.14347000341837	0.016
dDocent_Contig_82832:33	dDocent_Contig_82832:33	C	6.40165141646156	0.001
dDocent_Contig_93498:58	dDocent_Contig_93498:58	C	6.80847869541279	0.005
dDocent_Contig_50592:39	dDocent_Contig_50592:39	C	11.0277568666876	0
dDocent_Contig_92843:16	dDocent_Contig_92843:16	C	6.45248673610953	0.005
dDocent_Contig_23408:9	dDocent_Contig_23408:9	C	7.0880416079098	0.001
dDocent_Contig_183913:19	dDocent_Contig_183913:19	C	2.09627263731349	0.189
dDocent_Contig_258009:44	dDocent_Contig_258009:44	C	1.69214859317447	0.29
dDocent_Contig_71496:19	dDocent_Contig_71496:19	C	6.37185906739343	0.009
dDocent_Contig_91571:43	dDocent_Contig_91571:43	C	4.00962337158388	0.057
dDocent_Contig_88822:64	dDocent_Contig_88822:64	C	5.84961203372714	0.009
dDocent_Contig_47459:27	dDocent_Contig_47459:27	C	5.00452674876372	0.008
dDocent_Contig_10058:9	dDocent_Contig_10058:9	C	22.4977254780128	0
dDocent_Contig_131687:33	dDocent_Contig_131687:33	C	4.49906376405104	0.038
dDocent_Contig_76897:16	dDocent_Contig_76897:16	C	1.7001458048442	0.301
dDocent_Contig_64447:34	dDocent_Contig_64447:34	C	8.01336022032294	0
dDocent_Contig_95804:16	dDocent_Contig_95804:16	C	6.68098526179004	0.004
dDocent_Contig_156639:12	dDocent_Contig_156639:12	C	4.55018161098572	0.04
dDocent_Contig_57032:19	dDocent_Contig_57032:19	C	0.364695393508242	0.65
dDocent_Contig_19175:9	dDocent_Contig_19175:9	C	4.19563948226845	0.02
dDocent_Contig_63873:55	dDocent_Contig_63873:55	C	9.68147463290181	0
dDocent_Contig_142464:31	dDocent_Contig_142464:31	C	1.71999007619219	0.302
dDocent_Contig_167083:8	dDocent_Contig_167083:8	C	3.83952289072549	0.035
dDocent_Contig_6734:60	dDocent_Contig_6734:60	C	1.62140345271886	0.264
dDocent_Contig_203347:20	dDocent_Contig_203347:20	C	3.68099560330767	0.069
dDocent_Contig_61129:61	dDocent_Contig_61129:61	C	1.29754317467924	0.372
dDocent_Contig_240321:58	dDocent_Contig_240321:58	C	1.42282473106731	0.364
dDocent_Contig_21741:40	dDocent_Contig_21741:40	C	2.79370176056074	0.119
dDocent_Contig_202997:42	dDocent_Contig_202997:42	C	17.0146843024132	0
dDocent_Contig_89921:29	dDocent_Contig_89921:29	C	28.1473605619575	0
dDocent_Contig_20532:49	dDocent_Contig_20532:49	C	1.97961688395526	0.164
dDocent_Contig_3703:11	dDocent_Contig_3703:11	C	5.98011766623727	0.004
dDocent_Contig_5413:26	dDocent_Contig_5413:26	C	8.90717851597906	0.001
dDocent_Contig_25232:34	dDocent_Contig_25232:34	C	8.34888869082188	0.001
dDocent_Contig_101108:11	dDocent_Contig_101108:11	C	7.02292499352272	0.006
dDocent_Contig_151270:63	dDocent_Contig_151270:63	C	1.19484101592508	0.43
dDocent_Contig_130018:10	dDocent_Contig_130018:10	C	1.18848728621182	0.356
dDocent_Contig_56983:20	dDocent_Contig_56983:20	C	2.7488008319003	0.105
dDocent_Contig_69337:22	dDocent_Contig_69337:22	C	3.38419156431304	0.059
dDocent_Contig_77597:46	dDocent_Contig_77597:46	C	2.7063572587785	0.157
dDocent_Contig_101211:36	dDocent_Contig_101211:36	C	18.5987168449288	0
dDocent_Contig_69699:26	dDocent_Contig_69699:26	C	7.4825819049122	0.002
dDocent_Contig_241577:51	dDocent_Contig_241577:51	C	3.78263012641993	0.071
dDocent_Contig_226350:28	dDocent_Contig_226350:28	C	3.73180868181221	0.054
dDocent_Contig_133000:34	dDocent_Contig_133000:34	C	11.2792839158702	0
dDocent_Contig_32032:43	dDocent_Contig_32032:43	C	1.23630118623053	0.414
dDocent_Contig_142699:21	dDocent_Contig_142699:21	C	4.31977161219166	0.027
dDocent_Contig_30763:56	dDocent_Contig_30763:56	C	12.2129499818026	0
dDocent_Contig_84945:35	dDocent_Contig_84945:35	C	2.83994922996747	0.093
dDocent_Contig_5740:20	dDocent_Contig_5740:20	C	4.58862052942084	0.042
dDocent_Contig_198114:81	dDocent_Contig_198114:81	C	4.7148114136936	0.029
dDocent_Contig_167174:43	dDocent_Contig_167174:43	C	14.0961245252668	0
dDocent_Contig_136698:22	dDocent_Contig_136698:22	C	10.6465175613757	0
dDocent_Contig_198289:53	dDocent_Contig_198289:53	C	12.2743146240711	0
dDocent_Contig_71628:21	dDocent_Contig_71628:21	C	13.5872565243412	0.001
dDocent_Contig_61803:11	dDocent_Contig_61803:11	C	19.7144581160754	0
dDocent_Contig_83054:16	dDocent_Contig_83054:16	C	2.38419391153714	0.116
dDocent_Contig_125361:38	dDocent_Contig_125361:38	C	1.03931123742534	0.489
dDocent_Contig_140977:26	dDocent_Contig_140977:26	C	3.41394711154075	0.068
dDocent_Contig_86411:51	dDocent_Contig_86411:51	C	1.26685756182231	0.346
dDocent_Contig_239037:15	dDocent_Contig_239037:15	C	2.07603000110242	0.218
dDocent_Contig_147205:7	dDocent_Contig_147205:7	C	16.93839018027	0
dDocent_Contig_41144:21	dDocent_Contig_41144:21	C	4.36510183691172	0.057
dDocent_Contig_96897:60	dDocent_Contig_96897:60	C	4.23834729563698	0.027
dDocent_Contig_104147:54	dDocent_Contig_104147:54	C	5.60710270850624	0.005
dDocent_Contig_22850:41	dDocent_Contig_22850:41	C	1.33986734656403	0.341
dDocent_Contig_95428:60	dDocent_Contig_95428:60	C	4.09828306777294	0.045
dDocent_Contig_88388:32	dDocent_Contig_88388:32	C	3.06348732348355	0.088
dDocent_Contig_22030:11	dDocent_Contig_22030:11	C	2.26610125560144	0.126
dDocent_Contig_95906:39	dDocent_Contig_95906:39	C	1.88833647327868	0.228
dDocent_Contig_240433:15	dDocent_Contig_240433:15	C	10.7082012428038	0.001
dDocent_Contig_127605:80	dDocent_Contig_127605:80	C	1.08301745333159	0.477
dDocent_Contig_126116:9	dDocent_Contig_126116:9	C	3.29742252496911	0.085
dDocent_Contig_50004:16	dDocent_Contig_50004:16	C	2.92920058931146	0.105
dDocent_Contig_23625:15	dDocent_Contig_23625:15	C	1.40572246460589	0.279
dDocent_Contig_142827:69	dDocent_Contig_142827:69	C	8.8894106428625	0.001
dDocent_Contig_253610:7	dDocent_Contig_253610:7	C	2.11093757229038	0.252
dDocent_Contig_63127:34	dDocent_Contig_63127:34	C	13.2034664602204	0
dDocent_Contig_55284:18	dDocent_Contig_55284:18	C	6.06563315843073	0.011
dDocent_Contig_98762:21	dDocent_Contig_98762:21	C	10.026407891356	0
dDocent_Contig_16411:43	dDocent_Contig_16411:43	C	2.17493323124573	0.222
dDocent_Contig_52767:58	dDocent_Contig_52767:58	C	3.67626457748808	0.057
dDocent_Contig_87759:14	dDocent_Contig_87759:14	C	2.07105215117744	0.248
dDocent_Contig_91587:17	dDocent_Contig_91587:17	C	2.45498893982263	0.18
dDocent_Contig_144142:24	dDocent_Contig_144142:24	C	0.738045091014335	0.585
dDocent_Contig_72319:43	dDocent_Contig_72319:43	C	2.46986800299922	0.15
dDocent_Contig_60112:65	dDocent_Contig_60112:65	C	6.57283288989105	0.011
dDocent_Contig_156916:81	dDocent_Contig_156916:81	C	1.52826915518686	0.307
dDocent_Contig_192766:24	dDocent_Contig_192766:24	C	1.41906485997153	0.353
dDocent_Contig_2921:10	dDocent_Contig_2921:10	C	4.68563546580106	0.02
dDocent_Contig_157405:78	dDocent_Contig_157405:78	C	2.98629714661026	0.093
dDocent_Contig_88233:8	dDocent_Contig_88233:8	C	3.1374447493581	0.078
dDocent_Contig_3205:29	dDocent_Contig_3205:29	C	5.6996838690659	0.012
dDocent_Contig_49743:25	dDocent_Contig_49743:25	C	2.78644915105761	0.15
dDocent_Contig_85553:11	dDocent_Contig_85553:11	C	4.65930071094417	0.027
dDocent_Contig_49956:29	dDocent_Contig_49956:29	C	7.90604206316084	0.004
dDocent_Contig_18581:8	dDocent_Contig_18581:8	C	4.29827276620625	0.033
dDocent_Contig_86881:40	dDocent_Contig_86881:40	C	10.8748944276565	0
dDocent_Contig_53743:57	dDocent_Contig_53743:57	C	8.47610361185563	0
dDocent_Contig_53186:31	dDocent_Contig_53186:31	C	3.18280620784284	0.078
dDocent_Contig_5377:60	dDocent_Contig_5377:60	C	4.06497132256534	0.038
dDocent_Contig_5587:9	dDocent_Contig_5587:9	C	18.735197247642	0
dDocent_Contig_608:18	dDocent_Contig_608:18	C	2.88536530851532	0.101
dDocent_Contig_31056:63	dDocent_Contig_31056:63	C	3.89759068584635	0.04
dDocent_Contig_200429:52	dDocent_Contig_200429:52	C	15.9621394530084	0
dDocent_Contig_157171:13	dDocent_Contig_157171:13	C	3.64399450790664	0.039
dDocent_Contig_152455:43	dDocent_Contig_152455:43	C	7.41379782998642	0.003
dDocent_Contig_86115:46	dDocent_Contig_86115:46	C	0.775673495866158	0.492
dDocent_Contig_78826:37	dDocent_Contig_78826:37	C	3.24203225021355	0.078
dDocent_Contig_130282:78	dDocent_Contig_130282:78	C	6.77701798331133	0.006
dDocent_Contig_2730:13	dDocent_Contig_2730:13	C	34.7381977550209	0
dDocent_Contig_9862:37	dDocent_Contig_9862:37	C	0.954486285856994	0.433
dDocent_Contig_26069:33	dDocent_Contig_26069:33	C	6.56886345761595	0.004
dDocent_Contig_188984:24	dDocent_Contig_188984:24	C	1.73168255452187	0.239
dDocent_Contig_7947:22	dDocent_Contig_7947:22	C	3.54772350617793	0.04
dDocent_Contig_197793:39	dDocent_Contig_197793:39	C	16.2366253354358	0
dDocent_Contig_202560:28	dDocent_Contig_202560:28	C	0.64852903615256	0.546
dDocent_Contig_245662:33	dDocent_Contig_245662:33	C	3.77145017621207	0.055
dDocent_Contig_64505:30	dDocent_Contig_64505:30	C	41.0146533824041	0
dDocent_Contig_194651:41	dDocent_Contig_194651:41	C	19.3171029365783	0
dDocent_Contig_76478:62	dDocent_Contig_76478:62	C	3.91785534559534	0.036
dDocent_Contig_423:8	dDocent_Contig_423:8	C	8.03891658935279	0.001
dDocent_Contig_66854:40	dDocent_Contig_66854:40	C	1.20321502672367	0.449
dDocent_Contig_238675:46	dDocent_Contig_238675:46	C	6.84954097129675	0.006
dDocent_Contig_16358:75	dDocent_Contig_16358:75	C	4.36712050574394	0.039
dDocent_Contig_67342:36	dDocent_Contig_67342:36	C	2.45988475457162	0.159
dDocent_Contig_2802:29	dDocent_Contig_2802:29	C	7.5382049292444	0.001
dDocent_Contig_154953:8	dDocent_Contig_154953:8	C	0.843521487029335	0.477
dDocent_Contig_47459:37	dDocent_Contig_47459:37	C	4.9703652836702	0.032
dDocent_Contig_80771:6	dDocent_Contig_80771:6	C	3.64748743255027	0.068
dDocent_Contig_55865:38	dDocent_Contig_55865:38	C	8.76862429935471	0
dDocent_Contig_22867:24	dDocent_Contig_22867:24	C	14.2947753802326	0
dDocent_Contig_25226:28	dDocent_Contig_25226:28	C	10.2013806760923	0.001
dDocent_Contig_769:30	dDocent_Contig_769:30	C	4.20111596445385	0.045
dDocent_Contig_19670:34	dDocent_Contig_19670:34	C	1.91732384370995	0.223
dDocent_Contig_41220:81	dDocent_Contig_41220:81	C	9.50156933398591	0
dDocent_Contig_199632:39	dDocent_Contig_199632:39	C	2.60415051416437	0.108
dDocent_Contig_88302:57	dDocent_Contig_88302:57	C	0.843300964708391	0.456
dDocent_Contig_200665:52	dDocent_Contig_200665:52	C	5.92759252081153	0.012
dDocent_Contig_100668:18	dDocent_Contig_100668:18	C	2.04938804042406	0.183
dDocent_Contig_222631:23	dDocent_Contig_222631:23	C	2.5277905506496	0.113
dDocent_Contig_63047:58	dDocent_Contig_63047:58	C	13.6757177112142	0
dDocent_Contig_68938:29	dDocent_Contig_68938:29	C	4.51015594882109	0.047
dDocent_Contig_18200:33	dDocent_Contig_18200:33	C	7.70447029196265	0.004
dDocent_Contig_7247:80	dDocent_Contig_7247:80	C	3.16230541151859	0.091
dDocent_Contig_247078:42	dDocent_Contig_247078:42	C	8.70262475838926	0
dDocent_Contig_16747:22	dDocent_Contig_16747:22	C	8.70048584245788	0.002
dDocent_Contig_101869:61	dDocent_Contig_101869:61	C	5.83528734987914	0.01
dDocent_Contig_242025:25	dDocent_Contig_242025:25	C	26.5146720942835	0
dDocent_Contig_101869:36	dDocent_Contig_101869:36	C	6.67951347157025	0.002
dDocent_Contig_131371:33	dDocent_Contig_131371:33	C	2.63538392941285	0.12
dDocent_Contig_2232:15	dDocent_Contig_2232:15	C	5.05827725655577	0.013
dDocent_Contig_75422:10	dDocent_Contig_75422:10	C	3.26188192630039	0.084
dDocent_Contig_3608:9	dDocent_Contig_3608:9	C	4.8075557613715	0.014
dDocent_Contig_18811:30	dDocent_Contig_18811:30	C	22.3468216520324	0
dDocent_Contig_13693:19	dDocent_Contig_13693:19	C	5.09148944262618	0.018
dDocent_Contig_21403:7	dDocent_Contig_21403:7	C	5.41010741547466	0.007
dDocent_Contig_153364:27	dDocent_Contig_153364:27	C	30.4107480890286	0
dDocent_Contig_130482:35	dDocent_Contig_130482:35	C	3.026056613604	0.122
dDocent_Contig_130047:31	dDocent_Contig_130047:31	C	17.2915862261682	0
dDocent_Contig_30587:35	dDocent_Contig_30587:35	C	2.40111791116863	0.156
dDocent_Contig_149733:51	dDocent_Contig_149733:51	C	4.4607375625215	0.028
